Id,Status,Name,Description,Particpation,Location,Add,Tel,Org,Start,End,Cycle,Noncycle,Map,Px,Py,Travellinginfo,Parkinginfo,Charge,Remarks,Changetime
C2_397000000A_002275,2,2020 張燈結綵岡山行,無,一般民眾,to see the official site,高雄市820岡山區,886-7-7995678,高雄市岡山區公所,2020/1/18 17:00,2020/2/9 22:00,,,,120.29228,22.79623,,,,,2020/4/7 18:58
C2_397000000A_002294,2,2020 高雄燈會藝術節,無,一般民眾,to see the official site,高雄市801前金區,886-7-7995678,高雄市政府觀光局,2020/1/29 00:00,2020/2/9 00:00,,,,120.28905,22.62487,,,,,2020/4/7 18:58
C2_397000000A_002296,2,109年度櫻花季暨農特產品促銷活動-櫻綻花開梅飛色舞,無,一般民眾,to see the official site,高雄市848桃源區荖濃溪林道寶山巷,886-7-7995678,桃源區公所,2020/1/18 10:00,2020/2/2 00:00,,,,120.75863,23.06679,,,,,2020/4/8 11:54
C2_397000000A_002297,2,2020 旗山新春佈置熱鬧「燈」場,無,一般民眾,to see the official site,高雄市842旗山區中山路,886-7-7995678,高雄市旗山區公所,2020/1/22 00:00,2020/2/22 00:00,,,,120.48204,22.88811,,,,,2020/4/8 13:39
C2_397000000A_002834,2,2020 高雄陣夯宋江陣系列活動,無,一般民眾,to see the official site,高雄市845內門區中正路115巷18號,886-7-7995678,高雄市政府觀光局,2020/2/22 00:00,2020/3/8 23:59,,,,120.45503,22.91718,,,,,2020/9/24 10:28
C2_397000000A_002842,2,左營「見城館」見城好鄰周年慶活動,無,一般民眾,to see the official site,高雄市813左營區龜山巷157-2號,886-7-7995678,左營區公所,2020/3/3 00:00,2020/3/8 23:59,,,,120.29142,22.67694,,,,,2020/4/8 13:32
C2_397000000A_002855,2,2020「大東戲台」傳統戲曲系列活動 首次登場!,無,一般民眾,to see the official site,高雄市830鳳山區光遠路161號,886-7-7995678,高雄市政府,2020/6/6 00:00,2020/7/19 23:59,,,,120.36344,22.62476,,,,,2020/4/8 13:30
C2_397000000A_002863,2,奔•月—劉國松》藝術教育活動,無,一般民眾,to see the official site,高雄市804鼓山區美術館路80號,886-7-7995678,高雄市立美術館,2019/12/21 00:00,2020/5/31 23:59,,,,120.28626,22.65643,,,,,2020/4/8 13:28
C2_397000000A_002870,2,高圖學齋--蘇詩．柳詞．戰國策,無,一般民眾,to see the official site,高雄市806前鎮區新光路61號,886-7-7995678,高雄市立圖書館,2020/3/13 00:00,2020/4/8 23:59,,,,120.30174,22.61023,,,,,2020/4/8 13:27
C2_397000000A_002873,2,光-皮影戲館25周年紀念特展,無,一般民眾,to see the official site,高雄市820岡山區岡山南路42號,886-7-7995678,高雄市立歷史博物館,2019/6/22 00:00,2020/5/31 23:59,,,,120.29827,22.78328,,,,,2020/4/7 13:56
C2_397000000A_002881,2,岡山籃籗會,無,一般民眾,to see the official site,高雄市820岡山區河華路,886-7-7995678,岡山區公所,2020/3/1 00:00,2020/10/31 23:59,,,,120.29198,22.80152,,,,,2020/6/30 11:04
C2_397000000A_002882,2,2020 那瑪夏賞螢季,無,一般民眾,to see the official site,高雄市849那瑪夏區達卡奴瓦里大光巷230號,886-7-7995678,那瑪夏區公所,2020/3/28 00:00,2020/4/26 23:59,,,,120.71923,23.27202,,,,,2020/6/30 11:06
C2_397000000A_002883,2,2020 高雄青春設計節,無,一般民眾,to see the official site,高雄市803鹽埕區大勇路1號,886-7-7995678,駁二藝術特區,2020/5/1 00:00,2020/5/10 23:59,,,,120.2816,22.62001,,,,,2020/11/27 14:50
